Year,Cause_Code,Cause_Name,State,Deaths,Age_Adjusted_Rate,Rate_Category,Deaths_Rate_Scaled
2017,"Accidents (unintentional injuries) (V01-X59,Y85-Y86)",Unintentional injuries,United States,169936,49.4,Low,169.936
2017,"Accidents (unintentional injuries) (V01-X59,Y85-Y86)",Unintentional injuries,Alabama,2703,53.8,Medium,2.703
2017,"Accidents (unintentional injuries) (V01-X59,Y85-Y86)",Unintentional injuries,Alaska,436,63.7,Medium,0.436
2017,"Accidents (unintentional injuries) (V01-X59,Y85-Y86)",Unintentional injuries,Arizona,4184,56.2,Medium,4.184
2017,"Accidents (unintentional injuries) (V01-X59,Y85-Y86)",Unintentional injuries,Arkansas,1625,51.8,Medium,1.625
2017,"Accidents (unintentional injuries) (V01-X59,Y85-Y86)",Unintentional injuries,California,13840,33.2,Low,13.84
2017,"Accidents (unintentional injuries) (V01-X59,Y85-Y86)",Unintentional injuries,Colorado,3037,53.6,Medium,3.037
2017,"Accidents (unintentional injuries) (V01-X59,Y85-Y86)",Unintentional injuries,Connecticut,2078,53.2,Medium,2.078
2017,"Accidents (unintentional injuries) (V01-X59,Y85-Y86)",Unintentional injuries,Delaware,608,61.9,Medium,0.608
2017,"Accidents (unintentional injuries) (V01-X59,Y85-Y86)",Unintentional injuries,District Of Columbia,427,61.0,Medium,0.427
2017,"Accidents (unintentional injuries) (V01-X59,Y85-Y86)",Unintentional injuries,Florida,13059,56.1,Medium,13.059
2017,"Accidents (unintentional injuries) (V01-X59,Y85-Y86)",Unintentional injuries,Georgia,4712,45.2,Low,4.712
2017,"Accidents (unintentional injuries) (V01-X59,Y85-Y86)",Unintentional injuries,Hawaii,585,35.7,Low,0.585
2017,"Accidents (unintentional injuries) (V01-X59,Y85-Y86)",Unintentional injuries,Idaho,876,49.8,Low,0.876
2017,"Accidents (unintentional injuries) (V01-X59,Y85-Y86)",Unintentional injuries,Illinois,6019,44.4,Low,6.019
2017,"Accidents (unintentional injuries) (V01-X59,Y85-Y86)",Unintentional injuries,Indiana,3978,58.7,Medium,3.978
2017,"Accidents (unintentional injuries) (V01-X59,Y85-Y86)",Unintentional injuries,Iowa,1536,42.8,Low,1.536
2017,"Accidents (unintentional injuries) (V01-X59,Y85-Y86)",Unintentional injuries,Kansas,1567,49.4,Low,1.567
2017,"Accidents (unintentional injuries) (V01-X59,Y85-Y86)",Unintentional injuries,Kentucky,3264,72.9,Medium,3.264
2017,"Accidents (unintentional injuries) (V01-X59,Y85-Y86)",Unintentional injuries,Louisiana,2780,58.9,Medium,2.78
2017,"Accidents (unintentional injuries) (V01-X59,Y85-Y86)",Unintentional injuries,Maine,990,68.0,Medium,0.99
2017,"Accidents (unintentional injuries) (V01-X59,Y85-Y86)",Unintentional injuries,Maryland,2408,36.9,Low,2.408
2017,"Accidents (unintentional injuries) (V01-X59,Y85-Y86)",Unintentional injuries,Massachusetts,3821,51.5,Medium,3.821
2017,"Accidents (unintentional injuries) (V01-X59,Y85-Y86)",Unintentional injuries,Michigan,5623,53.0,Medium,5.623
2017,"Accidents (unintentional injuries) (V01-X59,Y85-Y86)",Unintentional injuries,Minnesota,2788,44.6,Low,2.788
2017,"Accidents (unintentional injuries) (V01-X59,Y85-Y86)",Unintentional injuries,Mississippi,1738,56.3,Medium,1.738
2017,"Accidents (unintentional injuries) (V01-X59,Y85-Y86)",Unintentional injuries,Missouri,3776,58.8,Medium,3.776
2017,"Accidents (unintentional injuries) (V01-X59,Y85-Y86)",Unintentional injuries,Montana,579,50.2,Medium,0.579
2017,"Accidents (unintentional injuries) (V01-X59,Y85-Y86)",Unintentional injuries,Nebraska,811,38.5,Low,0.811
2017,"Accidents (unintentional injuries) (V01-X59,Y85-Y86)",Unintentional injuries,Nevada,1496,47.8,Low,1.496
2017,"Accidents (unintentional injuries) (V01-X59,Y85-Y86)",Unintentional injuries,New Hampshire,907,62.9,Medium,0.907
2017,"Accidents (unintentional injuries) (V01-X59,Y85-Y86)",Unintentional injuries,New Jersey,4482,47.3,Low,4.482
2017,"Accidents (unintentional injuries) (V01-X59,Y85-Y86)",Unintentional injuries,New Mexico,1460,68.3,Medium,1.46
2017,"Accidents (unintentional injuries) (V01-X59,Y85-Y86)",Unintentional injuries,New York,7687,35.5,Low,7.687
2017,"Accidents (unintentional injuries) (V01-X59,Y85-Y86)",Unintentional injuries,North Carolina,5985,56.3,Medium,5.985
2017,"Accidents (unintentional injuries) (V01-X59,Y85-Y86)",Unintentional injuries,North Dakota,339,41.3,Low,0.339
2017,"Accidents (unintentional injuries) (V01-X59,Y85-Y86)",Unintentional injuries,Ohio,8971,75.1,Medium,8.971
2017,"Accidents (unintentional injuries) (V01-X59,Y85-Y86)",Unintentional injuries,Oklahoma,2563,62.5,Medium,2.563
2017,"Accidents (unintentional injuries) (V01-X59,Y85-Y86)",Unintentional injuries,Oregon,2076,44.8,Low,2.076
2017,"Accidents (unintentional injuries) (V01-X59,Y85-Y86)",Unintentional injuries,Pennsylvania,9527,70.2,Medium,9.527
2017,"Accidents (unintentional injuries) (V01-X59,Y85-Y86)",Unintentional injuries,Rhode Island,718,60.0,Medium,0.718
2017,"Accidents (unintentional injuries) (V01-X59,Y85-Y86)",Unintentional injuries,South Carolina,3147,60.2,Medium,3.147
2017,"Accidents (unintentional injuries) (V01-X59,Y85-Y86)",Unintentional injuries,South Dakota,537,56.1,Medium,0.537
2017,"Accidents (unintentional injuries) (V01-X59,Y85-Y86)",Unintentional injuries,Tennessee,4435,63.0,Medium,4.435
2017,"Accidents (unintentional injuries) (V01-X59,Y85-Y86)",Unintentional injuries,Texas,10763,38.8,Low,10.763
2017,"Accidents (unintentional injuries) (V01-X59,Y85-Y86)",Unintentional injuries,Utah,1238,44.2,Low,1.238
2017,"Accidents (unintentional injuries) (V01-X59,Y85-Y86)",Unintentional injuries,Vermont,394,56.9,Medium,0.394
2017,"Accidents (unintentional injuries) (V01-X59,Y85-Y86)",Unintentional injuries,Virginia,3922,44.0,Low,3.922
2017,"Accidents (unintentional injuries) (V01-X59,Y85-Y86)",Unintentional injuries,Washington,3455,44.0,Low,3.455
2017,"Accidents (unintentional injuries) (V01-X59,Y85-Y86)",Unintentional injuries,West Virginia,1892,100.3,High,1.892
2017,"Accidents (unintentional injuries) (V01-X59,Y85-Y86)",Unintentional injuries,Wisconsin,3746,58.3,Medium,3.746
2017,"Accidents (unintentional injuries) (V01-X59,Y85-Y86)",Unintentional injuries,Wyoming,348,56.9,Medium,0.348
2017,All Causes,All causes,United States,2813503,731.9,Very High,2813.503
2017,All Causes,All causes,Alabama,53238,917.7,Very High,53.238
2017,All Causes,All causes,Alaska,4411,708.8,Very High,4.411
2017,All Causes,All causes,Arizona,57758,678.5,Very High,57.758
2017,All Causes,All causes,Arkansas,32588,900.1,Very High,32.588
